id,wallet,price,created_at,payment_confirmed_at,txid,wallet_balance
10657,bc1qzy73dgfu0g2e7mnyrywql4p0tgzjpcvnmv5grzmsshcncx9m0d5s4ylk6x,0.020478,2021-12-01 00:25:26 -0500,2021-12-04 23:56:37 -0500,c5059266664267619e49ede2155bcefd047ed492bfd3a3084bd2953691bf69f5,0.0
10658,bc1quznw6gmhksr8d4lpupk8c5987z8dfr3e79fm2qehvwu5r6ll224sa6k0pd,0.017713,2021-12-01 00:29:52 -0500,2021-12-01 23:54:56 -0500,def25379e14c6aa5f19f308410a18462ff66ea212ddc42ba0f0f60b7222bcd3c,0.0
10673,bnb126vf5pepf9fzqta0cmawmzuvnhppc90rkdjql3,1.55521,2021-12-01 08:38:13 -0500,2021-12-01 08:39:10 -0500,492642F5997E8A76E523ED94102B637473B43A12BB1F4027A633DCC46090C750,0.0
10684,bnb1alk2c6my9ajl47kn2j3dvnqlu9nesqxqwazl2k,1.546073,2021-12-01 11:20:49 -0500,2021-12-01 11:21:32 -0500,181A68928BCFE984FC8217CA9E1079AACD1BC528BD25895F92630F5802232B6D,0.0
10686,bnb1g7pgah7p84g9kr8mtz2sn4vnzdqjtsgnadqnds,1.548227,2021-12-01 11:27:17 -0500,2021-12-01 11:28:01 -0500,BCFF990D4D3D00807514C0833172EC5EF51EB0B05290EAEDF080756254AF868E,0.0
10775,bnb1dnvgkc07qa042stdefz5rs4hhrfy2ukxddh75g,1.605394,2021-12-01 17:01:29 -0500,2021-12-01 17:03:30 -0500,18B50BD93BFF9CFD7319FC08649C2B939B72C570E4C85D49A34977A147D84471,0.0
10780,bc1qdxnf6c6dx0zg60cn7t5j52gk9ygltcsnqklf3tcvxj47nnqgfsyqghj680,0.017521,2021-12-01 17:50:36 -0500,2021-12-01 18:00:12 -0500,74ee3d0880316017670e463da848ca537859460cbe9c1351baa849eb2da5bc42,0.0
10782,bnb17chvarynwkrw7ykxsqky3xqrhqul9ky252g0rd,1.596169,2021-12-01 18:15:34 -0500,2021-12-01 18:17:30 -0500,C11449C47A35D612E3183224446092C1B91E536D565A770EAC46C9CCC3ACC6B9,0.0
10783,bc1qkrsqhqjp9stwxra29rnrtgqy25f5pzs7ucgvq57mzzl2wd22uatq6gh7rn,0.017505,2021-12-01 18:22:22 -0500,2021-12-01 18:26:12 -0500,841537ce210940f0f23c3cf89bf5f4f925ec6d1cfb4d5f8677b03c02883d5f0c,0.0
10784,bc1q3vzmwwmfsrlh785srx3e47054tthng9pxey6m7xazwrpjn2nut9q9gf7n2,0.017487,2021-12-01 18:39:56 -0500,2021-12-01 18:42:11 -0500,c8947f223bdabf78745a313a281fef85c0438db4466ad95a09ecbff634dd91cd,0.0
10785,bc1qw640qf2fuhhw22f7tls9dkw37u9pq6duc5dpjxfwgqru7mad95esxrnghw,0.017522,2021-12-01 18:43:51 -0500,2021-12-01 18:47:13 -0500,271f260011bd2e4b7abdf1cf901ce2eea70ee7d092a4c576686fbdae31acd91f,0.0
10787,bnb1jteknerxwhfz7sflvrghr2jtwn5qphaypd08l3,1.601537,2021-12-01 19:25:38 -0500,2021-12-01 19:26:33 -0500,65B1B21F30925DC6AFB72E9FED2F012E30905B3A168263693EEF15D039642A03,0.0
10788,bnb1ad7hen3f53cjrq9ltd0q0rdtev3umyyg6anem9,1.601537,2021-12-01 19:30:51 -0500,2021-12-01 19:34:55 -0500,1E6FBAB05A0C690A3AD101BFA215F078F9A4C32CDE521537287ED61BC3290BF6,0.0
10792,bc1q589dc84m6rpajet0zpxuwma4rf27zfes4amrheaf7kca4qj535jqadzkrm,0.017696,2021-12-01 20:16:34 -0500,2021-12-01 23:44:09 -0500,2808968a4a770c6ea8ab27611c384aa6185b7d64f63626a1c4fdd8c74b3f0877,0.0
10793,bnb19xdlnz2352umcvv766rr02dtnwtkr20zmnkelp,1.602564,2021-12-01 20:17:54 -0500,2021-12-01 20:21:28 -0500,DACE642CD4B2167503AD6029EE42301BD1B2420C22687A6B852E4351E5328C0A,0.0
10801,bnb1t7xa9qv945mkwrqusm70rdxhxvf7c48wzww2t3,1.601281,2021-12-01 21:38:43 -0500,2021-12-01 21:39:30 -0500,A55488DBA1F1D739837FC7170F22E63D9704CB68407BF015BD36996E4292D651,0.0
10806,bc1qe7kvw2r2v2gwms36vejxpagetvd65yua4pszdad7y334qf050prslaskvf,0.01771,2021-12-01 23:23:01 -0500,2021-12-01 23:26:11 -0500,2f349eafa3820ac596ff8782a6a85c04c22f33c6b5d21720354f875996bf0b8c,0.0
10807,bc1qr3greevudp77u8g97sj0umuk66e75zz5zchn06a56lktjry7wsrqwgxtvm,0.017693,2021-12-01 23:28:16 -0500,2021-12-01 23:31:10 -0500,c825c6735b41ab2a5a464af156fa34de700517094b1f4a1d7a43131ce99756ec,0.0
10808,bc1qeuna2nxmpyqvxn6smytsdml05qrf90t4th6p9h04580s3yhrlkasxgwysk,0.017673,2021-12-01 23:35:29 -0500,2021-12-01 23:38:47 -0500,2f64063ecdcaa6fbed5d096b77ce203dfa69cae2aaa6638fb0033b414a8ddd85,0.0
10810,bc1qdu3hmvg082vpnj3su8q78mk4c8awakjf075var3nur4nsyf8evxqlwuy3q,0.017687,2021-12-01 23:45:32 -0500,2021-12-01 23:51:43 -0500,60791309d42083c79045163f8d7428fedaa198278a74d68fd45ed43a23739d6e,0.0
